,Sample 1,Sample 2,Sample 3,Sample 4,Sample 5,Sample 6,Sample 7,Sample 8,Sample 9,Sample 10,Sample 11,Sample 12,Sample 13,Sample 14,Sample 15,Sample 16,Sample 17,Sample 18,Sample 19,Sample 20,Sample 21,Sample 22,Sample 23,Sample 24,Sample 25,Sample 26,Sample 27,Sample 28,Sample 29,Sample 30,Sample 31,Sample 32,Sample 33,Sample 34,Sample 35,Sample 36,Sample 37,Sample 38,Sample 39,Sample 40
Gen 23,-0.02489,0.06610,-0.14997,-0.05930,-0.10597,-0.12230,-0.09412,-0.04633,-0.03097,0.01165,-0.02424,0.05557,-0.08866,0.11344,-0.14178,0.05114,-0.02481,0.01761,-0.10788,-0.09057,0.09022,0.14048,-0.05597,0.05770,0.11292,0.11838,-0.12449,-0.13828,-0.09905,0.11344,-0.12050,-0.02367,0.13737,0.00995,0.05756,-0.05535,0.05595,0.10039,-0.14451,0.07504
Gen 4,0.14666,0.07445,-0.06587,0.08678,-0.11903,-0.01563,0.12258,-0.06192,-0.06367,-0.11099,-0.14419,0.05365,-0.08651,-0.07034,-0.00253,-0.13399,0.02224,-0.10598,0.02679,0.05993,-0.11930,-0.02578,0.05832,-0.02575,-0.13501,0.01077,0.04914,0.00447,0.13338,0.02597,0.12102,-0.10876,-0.10822,0.09222,-0.03070,-0.10039,0.12825,-0.04567,0.07524,0.06780
Gen 26,0.11499,0.03710,0.07528,-0.04533,-0.06902,0.11877,-0.02157,0.13945,0.04903,0.03651,-0.11558,0.13485,-0.01503,0.02352,-0.02756,-0.07889,0.12101,0.02210,-0.14914,0.03514,-0.05201,0.00812,0.11578,-0.04282,0.12256,0.03701,-0.14525,0.12883,0.05727,0.14920,-0.09830,-0.10886,0.12978,0.05905,-0.13020,0.07664,0.07616,0.12691,0.06346,-0.11272
Gen 28,-0.14404,-0.14214,-0.14151,-0.07614,0.10801,0.01165,0.01585,0.10261,-0.11275,-0.06624,0.02573,0.14088,0.01831,-0.14441,0.09019,-0.08011,0.09213,-0.03364,0.10906,0.07414,0.01687,-0.10906,-0.13202,-0.11360,-0.13663,-0.11775,-0.08229,0.06390,0.01792,-0.14623,-0.12841,0.14018,0.02043,-0.08901,-0.07430,0.07315,-0.09137,0.02441,0.14101,0.10405
Gen 19,-0.07805,-0.00187,0.03599,0.09869,-0.10296,-0.14443,-0.12899,-0.00410,0.03190,0.02066,-0.05479,0.14658,0.02392,-0.03596,0.01528,0.07360,0.05077,-0.07052,-0.13010,-0.03897,0.03892,-0.08695,0.07583,-0.13004,-0.07191,0.09143,-0.09197,0.04184,0.00740,0.12744,-0.07101,-0.13021,0.07052,0.08165,0.12234,0.12959,-0.14581,-0.07969,0.03503,0.13470
Gen 1690,0.13505,0.01700,0.12468,0.04247,-0.03300,-0.00420,0.03129,0.01486,0.12785,0.12562,-0.03154,0.13898,-0.09781,-0.11210,-0.10948,0.00170,-0.14354,0.13439,0.09813,-0.14549,-0.09714,-0.05038,-0.11070,0.09285,-0.04658,0.13203,0.02460,0.11365,0.10342,0.12162,-0.01204,0.01390,0.08958,-0.06428,-0.00292,0.02973,-0.14534,0.02804,-0.01990,0.09221
Gen 1659,-0.05543,0.11787,0.02336,-0.09480,0.08638,0.03361,-0.13383,-0.02394,0.05372,0.12558,-0.14988,0.14303,-0.03703,0.14214,0.03141,0.09865,0.02241,0.03842,-0.06433,0.02605,0.07501,0.10749,0.07652,0.05942,0.10934,-0.05320,0.05124,-0.01474,-0.03537,-0.02676,-0.02956,-0.05478,0.03658,-0.02093,0.14214,0.05334,-0.09043,-0.02199,-0.04700,0.08929
Gen 13,0.11400,0.12115,0.04882,-0.06894,-0.07429,0.10647,0.00831,0.09065,0.02175,0.06994,0.00570,0.08127,0.02066,-0.01029,-0.04719,-0.12954,-0.03662,-0.12611,0.14485,-0.09552,0.09356,0.11249,0.05652,0.02085,-0.10171,-0.00994,-0.04645,-0.08249,0.02775,-0.05632,0.12489,0.12289,-0.07286,-0.11673,-0.09211,-0.00012,0.06858,-0.08754,-0.07559,0.10550
Gen 1655,-0.02525,0.03501,-0.07990,-0.11941,0.00476,-0.00686,-0.10420,0.03654,0.01320,0.04624,-0.10664,0.07546,-0.08339,0.00581,0.08559,-0.14330,-0.05269,0.11188,0.10341,0.01153,0.10998,0.13494,0.09792,0.10623,-0.12038,0.04539,0.06106,0.03307,0.08988,-0.13963,0.08107,0.06952,-0.07209,-0.07288,0.03969,-0.04641,0.08898,-0.01616,0.08482,0.14714
Gen 27,-0.05993,-0.10710,0.12039,0.01247,0.14242,0.04098,0.14817,0.01382,0.00793,-0.10937,-0.04329,-0.14213,-0.10188,0.07369,-0.14088,-0.04004,0.10870,0.05780,0.05728,-0.09341,-0.01743,0.02447,0.14693,-0.08883,-0.07568,-0.07135,0.07505,-0.01291,-0.13292,0.00255,-0.08641,0.08958,-0.06080,-0.14172,0.02803,0.10315,-0.03570,0.07496,0.00334,0.01229
Gen 1657,0.13783,0.09119,-0.14030,0.06282,-0.01050,0.13426,-0.08357,-0.06988,-0.12556,-0.02141,-0.11729,0.04014,0.09089,0.05904,0.07986,-0.04726,0.10376,-0.02137,0.09720,0.03795,-0.10697,-0.12648,-0.14450,-0.12998,-0.01242,-0.11600,-0.14166,0.07646,-0.03154,0.07408,-0.01428,-0.01497,-0.00658,-0.00780,0.09095,-0.02928,0.12141,-0.13888,0.08216,-0.11231
Gen 25,0.03555,-0.14689,0.01159,-0.14909,0.13536,0.12162,0.08879,0.12458,-0.10633,-0.10268,-0.09371,0.03675,0.12174,0.14699,0.06334,0.06954,0.12279,-0.02974,-0.07504,-0.09797,-0.11416,0.09378,-0.10596,-0.07071,0.09573,-0.05682,0.14473,-0.07001,0.01010,-0.05566,0.12323,-0.04003,-0.01992,0.00369,0.13167,-0.14072,0.06506,0.11731,-0.14181,0.00662
Gen 1652,-0.05220,0.10785,0.01755,0.05707,-0.01414,0.03849,-0.06297,-0.14720,0.02303,-0.05657,0.00518,0.12492,-0.02206,-0.07578,-0.03861,0.12956,0.13106,0.10330,0.12606,-0.08163,-0.12376,-0.08181,-0.05569,-0.09757,0.03213,-0.02592,0.09491,-0.09446,0.06056,-0.07789,0.02227,-0.04530,-0.13291,-0.08136,0.04923,-0.00082,0.00570,-0.09758,0.02121,0.14903
Gen 1656,0.09505,0.02831,0.14280,0.12047,0.02868,-0.14027,-0.12193,-0.13039,-0.01448,-0.03737,0.14261,-0.09961,0.14184,0.08024,0.09727,0.03978,0.05062,-0.00694,-0.14606,-0.04410,-0.00238,0.06903,-0.00941,-0.01278,-0.10870,-0.14673,0.07748,-0.05401,0.14532,-0.08393,-0.04839,0.00717,0.07647,-0.01084,-0.11255,-0.05625,0.00136,0.05215,0.08104,-0.11090
Gen 14,-0.14313,0.00572,0.09300,-0.14622,0.05174,0.05604,-0.01523,0.12444,0.04331,-0.14843,-0.00467,0.10780,0.09912,0.04475,0.05211,0.02355,-0.06776,0.01816,0.05152,-0.04427,0.10675,-0.09149,0.07420,-0.06312,0.08214,-0.02168,0.09231,-0.04394,-0.08589,0.08019,-0.05741,0.06997,0.07334,-0.08358,-0.08577,-0.09032,-0.10724,-0.03688,-0.14201,-0.11672
Gen 1679,0.05237,0.08993,-0.12584,-0.08049,-0.08771,0.12520,0.06339,0.01617,-0.05864,0.10046,-0.01941,0.12704,0.06182,-0.00659,-0.11214,0.14281,-0.10205,-0.08922,-0.02065,-0.02874,-0.10597,0.06880,-0.09338,0.04317,0.07629,-0.08678,0.03029,0.07468,0.04147,0.02914,-0.06136,0.06948,0.13359,-0.02233,0.08465,-0.13316,0.10058,-0.09232,-0.03147,-0.05998
Gen 116,-0.12597,0.12139,-0.03895,0.00921,-0.00177,-0.11035,-0.08806,-0.12714,0.00238,-0.07154,-0.04288,-0.11758,0.08627,-0.11802,0.14571,-0.09685,0.02172,-0.13655,0.08613,-0.09312,0.00837,0.07202,-0.10502,0.01533,-0.08501,0.07776,0.06687,-0.09704,0.10859,-0.14407,0.10807,0.01767,-0.02903,0.07762,0.06508,0.14620,-0.06657,-0.14886,0.13017,0.10737
Gen 18,0.06866,0.00501,0.06209,0.08416,-0.03754,0.08110,0.07519,0.03396,-0.02944,0.05919,-0.14907,0.08247,0.11892,-0.07821,-0.11377,-0.08391,-0.05937,0.11491,0.01295,-0.06399,-0.10849,-0.06296,0.03416,-0.05276,-0.01279,-0.01676,0.09844,-0.02210,-0.04629,0.05249,-0.08356,-0.00983,-0.05557,0.03806,0.11321,-0.01569,0.08534,-0.01291,0.04687,-0.11045
Gen 17,-0.02011,0.12279,0.03164,0.08003,0.00141,-0.00058,0.10287,-0.12966,0.02198,0.13283,0.00536,-0.09166,0.10438,-0.07451,0.06022,0.01208,0.13465,0.03730,0.10139,-0.14762,0.14680,-0.12669,-0.05336,0.13385,-0.14732,0.09682,0.10836,-0.01805,-0.07328,0.09081,-0.00664,-0.10970,0.12835,0.11879,-0.00254,0.10701,-0.02443,0.05504,-0.03060,0.00172
